lei	l ə̄ j
lei	l ə́ j
lei	l ə̀ j
li	l ī
lo	l o ˧˩
lou	l o u̯ ˧
lou	l o u̯ ˧˥
lou	l o u̯ ˧˩
lu	l u ˧
mai	m a i̯ ˧
mai	m a i̯ ˧
mei	m ə i̯ ˧˩
met	m ə t ˧
mi	m î
mit	m î t
na	n a ˧
na	n a ˧
nga	ŋ a ˧
nga	ŋ a ˧˥
nga	ŋ a ˧˩
nga	ŋ a ˧˩
ni	n i ˧
ni	n i ˧
nu	n u ˧
oi	o i̯ ˧
om	o m ˧
op	o p ˧˥
pa	p a ˧˥
pa	p a ˧
pah	p a ʔ ˧
pai	p a i̯ ˧˥
pamme	p a m ˧ m e ˧
pe	p e ˧
pi	p i ˧
pi	p i ˧
pon	p o n ˧
pu	p u ˧
puon	p u ˧ w o n ˧˥
puon	p u ˧ o n ˧˥
reng	r ə ŋ ˧
sa	s à
sa	s ǎ
sa	s â
savun	s à v ǔ n
segi	s ə ˧ ɡ i ˧˥
si	s i ˧˩
sim	s î m
sing	s i ŋ ˧˥
sing	s i ŋ ˧˥
som	s o m ˧˩
ta	t a ˧
thum	tʰ u m ˧
tui	t û j
u	u ˧
ui	ù j
ule	u ˧ l e ˧
va	v a ˧˥
vasa	v à s ǎ
ven	v ə n ˧
vik	v i k ˧
vok	v ô k
voksa	v ò k s ǎ
vun	v u n ˧˥
